종로구 160070 79519 80551 165207 82274 82933 168382 83931 84451 서울 
강진군 40079 19123 20956 40241 19192 21049 41599 19744 21855
해남군 77684 37838 39846 78150 38203 39947 78346 38424 39922
영암군 59061 30083 28978 59997 30580 29417 60139 30659 29480
무안군 79367 39705 39662 75741 37997 37744 75718 37927 37791
함평군 35610 17665 17945 35780 17668 18112 36134 17872 18262
영광군 57617 28691 28926 57224 28460 28764 56863 28212 28651
장성군 46292 23385 22907 46289 23472 22817 46245 23543 22702
완도군 53619 26662 26957 53871 26782 27089 54037 26799 27238
진도군 32998 16012 16986 33208 16058 17150 33502 16224 17278
신안군 44162 23145 21017 43898 22869 21029 44355 23070 21285
포항시 519467 263461 256006 518913 263576 255337 517088 262648 254440 경북
경주시 263283 131725 131558 264091 132100 131991 265488 132822 132666
김천시 135259 67222 68037 135504 67317 68187 136185 67528 68657
안동시 168461 83229 85232 168302 83091 85211 168157 83037 85120
구미시 419428 213652 205776 416949 212041 204908 413446 210447 202999
영주시 112625 56102 56523 113547 56442 57105 114148 56759 57389
영천시 100778 50743 50035 101798 51337 50461 104182 52547 51635
상주시 103346 50785 52561 104182 51259 52923 104685 51569 53116
문경시 75664 37164 38500 75899 37319 38580 76727 37632 39095
경산시 248805 125454 123351 246358 124367 121991 243684 123114 120570
군위군 24172 12089 12083 24119 12059 12060 24268 12200 12068
의성군 56064 27399 28665 57043 27932 29111 57744 28329 29415
청송군 26470 13134 13336 26481 13075 13406 26569 13162 13407
영양군 18297 8996 9301 18208 8969 9239 18241 8982 9259
영덕군 40142 19118 21024 40257 19136 21121 40794 19378 21416
청도군 43788 21314 22474 43968 21398 22570 44298 21552 22746
고령군 35198 17988 17210 35343 18046 17297 35455 18102 17353
성주군 45067 23102 21965 45127 23138 21989 45640 23286 22354
칠곡군 121182 62805 58377 119786 62001 57785 118838 61458 57380
예천군 45573 22395 23178 46027 22640 23387 46579 22938 23641
봉화군 33894 16859 17035 33934 16903 17031 34192 17099 17093
울진군 51953 25642 26311 51844 25507 26337 52045 25504 26541
울릉군 10524 5573 4951 10673 5641 5032 10742 5634 5108
창원시 1083731 551005 532726 1091471 554788 536683 1091881 554950 536931 경남
진주시 337071 166985 170086 337314 167069 170245 335502 166254 169248
통영시 139719 70840 68879 139347 70610 68737 140195 71211 68984
사천시 116851 58660 58191 115321 57826 57495 114133 57343 56790
김해시 522049 263489 258560 513260 259026 254234 507062 255716 251346
밀양시 108342 53057 55285 108755 53255 55500 109329 53511 55818
거제시 242077 127020 115057 236944 124076 112868 232787 121587 111200
양산시 279565 140719 138846 270460 136159 134301 266403 134085 132318
의령군 29417 14193 15224 30329 14582 15747 30045 14452 15593
함안군 67667 34146 33521 67425 34107 33318 66971 33813 33158
창녕군 63447 31381 32066 62966 31074 31892 62490 30772 31718
고성군2 56369 28277 28092 56906 28547 28359 57264 28710 28554
남해군 47244 22546 24698 48223 22986 25237 50242 24004 26238
하동군 50177 24699 25478 50806 25023 25783 53975 26506 27469
산청군 35935 17613 18322 35691 17462 18229 35651 17385 18266
함양군 40692 19433 21259 40714 19421 21293 41081 19650 21431
거창군 63177 30671 32506 63103 30613 32490 63146 30665 32481
합천군 50290 23858 26432 50279 23921 26358 50608 24141 26467
제주시 438165 219029 219136 429656 214588 215068 422790 210873 211917
서귀포시 155641 78475 77166 154057 77625 76432 153366 77279 76087
